max, time
3, 0.001043
5, 0.002330
7, 0.002822
9, 0.004103
11, 0.004732
13, 0.005020
15, 0.006078
17, 0.007796
19, 0.007749
21, 0.010462
23, 0.010589
25, 0.010472
27, 0.011886
29, 0.013264
31, 0.015511
33, 0.014648
35, 0.016877
37, 0.017133
39, 0.016909
41, 0.018720
43, 0.020454
45, 0.021456
47, 0.022837
49, 0.021461
51, 0.022816
53, 0.024188
55, 0.030407
57, 0.029304
59, 0.029701
61, 0.030117
63, 0.031264
65, 0.033004
67, 0.033937
69, 0.034791
71, 0.034256
73, 0.034555
75, 0.041140
77, 0.037672
79, 0.040729
81, 0.040114
83, 0.042444
85, 0.042095
87, 0.043805
89, 0.043864
91, 0.044414
93, 0.046481
95, 0.046790
97, 0.047192
99, 0.048098
101, 0.050157
103, 0.050784
105, 0.051095
107, 0.055116
109, 0.053346
111, 0.054624
113, 0.054355
115, 0.056583
117, 0.058394
119, 0.059765
121, 0.059154
123, 0.061597
125, 0.061686
127, 0.063119
129, 0.062216
131, 0.064746
133, 0.063973
135, 0.067399
137, 0.068839
139, 0.067866
141, 0.068733
143, 0.070027
145, 0.071094
147, 0.076006
149, 0.075649
151, 0.073248
153, 0.074484
155, 0.075981
157, 0.077341
159, 0.078340
161, 0.079958
163, 0.081948
165, 0.077031
167, 0.080326
169, 0.079931
171, 0.080588
173, 0.085302
175, 0.082791
177, 0.085200
179, 0.086738
181, 0.084503
183, 0.086275
185, 0.090870
187, 0.093044
189, 0.093443
191, 0.092581
193, 0.090742
195, 0.091294
197, 0.098873
